id_cli,text_cli_en,text_cli_de,Zuordnung zu boreholeML LithologyList - Name,Zuordnung zu boreholeML LithologyList - Code
15102070,evaporite,Evaporit,,
15102071,anhydrite,Anhydrit,anhydrite,Ahy
15102072,gypsum,Gips,gypsum,Gyp
15102073,rock salt,Steinsalz,rock salt,NaCl
15102075,carbonate,Karbonat,,
15102076,sedimentary cellular dolomite,sedimentäre Rauwacke,,
15102077,sedimentary calcareous tufa,sedimentärer Quelltuff,,
15102078,sedimentary travertine,sedimentärer Travertin,,
15102080,residual and pedogenetically altered deposits,"Residualgestein, pedogen überprägtes Gestein",,
15102082,pisolitic ironstone,Bohnerz,,
15102084,weathering deposits (siderolithic deposits),Verwitterungsbildungen (Siderolithische Bildungen),,
15102086,silicate deposits,silikatreiches Gestein,,
15102087,bolus clay,Boluston,,
15102088,hupper,Huppererde,,
15102089,quartzitic sand,Quarzsand,,
15102090,silcrete,Silcrete,,
15102092,pedogenic carbonate,pedogenes Karbonat,,
15102093,caliche,Caliche,,
15102094,calcrete,Krustenkalk,,
15102100,echinodermsata limestone,Echinodermenkalk,,
15102101,glauconitic limestone,glaukonitischer Kalkstein,,
15102102,lithothamnion sandstone,Lithothamniensandstein,,
15102103,ferrouginous sandstone,Eisensandstein,,
15102104,glauconitic marl,glaukonitischer Mergel,,
15102105,chalky limestone,kreidiger Kalk,,
15102106,bioclastic limestone,bioklastischer Kalk,,
15102107,marly limestone,Mergelkalk,,
15102108,ferrouginous limestone,eisenschüssiger Kalk,,
15103005,plutonic rock,Plutonit,,
15103006,alkali granite,Alkalogranit,,
15103008,granodiorite,Granodiorit,granodiorite,Grd
15103009,quartz diorite,Quarzdiorit,,
15103010,tonalite,Tonalit,tonalite,Ton
15103011,diorite,Diorit,diorite,Di
15103012,syenite,Syenit,syenite,Sy
15103013,alkali syenite,Alkalisyenit,,
15103014,quartz gabbro,Quarzgabbro,,
15103015,gabbro,Gabbro,gabbro,Gab
15103016,norite,Norit,,
15103017,monzodiorite,Monzodiorit,monzodiorite,MsDi
15103018,monzogabbro,Monzogabbro,,
15103019,monzonite,Monzonit,monzonite,Mz
15103020,pyroxenite,"Pyroxenit, Intrusivgestein",pyroxenite,Pyx
15103021,peridotite,"Peridotit, Intrusivgestein",peridotite,Per
15103022,nephelinitic syenite,nephelinitischer Syenit,,
15103023,essexite,Essexit,,
15103024,granophyre,Granophyr,,
15103026,dyke rock,Ganggestein,,
15103027,microgranite,Mikrogranit,,
15103028,«rhyolite-porphyry»,Rhyolithporphyr,,
15103029,pegmatite,Pegmatit,pegmatite,Peg
15103030,aplite,Aplit,,
15103031,microdiorite,Mikrodiorit,,
15103032,microgabbro,Mikrogabbro,,
15103033,lamprophyre,Lamprophyr,lamprophyre,Lam
15103034,picrite,Pikrit,,
15103035,dolerite,Dolerit,,
15103037,extrusive rock,Extrusivgestein,,
15103039,effusive rock,Ergussgestein,,
15103040,alkali rhyolite,Alkalirhyolith,,
15103041,rhyolite,Rhyolith,,
15103042,rhyodacite,Rhyodazit,rhyodacite,Ryd
15103043,dacite,Dazit,dacite,Dac
15103044,quartz andesite,Quarzandesit,,
15103045,andesite,Andesit,andesite,And
15103046,alkali trachyte,Alkalitrachyt,,
15103047,trachyte,Trachyt,trachyte,Tra
15103048,basalt,Basalt,basalt,Bas
15103049,picrite,"Pikrit, Intrusivgestein",,
15103050,phonolite,Phonolith,phonolite,Pho
15103051,carbonatite,Karbonatit,,
15103053,"pyroclastic rock (volcanic tuff, >75% pyroclastic components)","Pyroklasitsches Gestein (vulkanischer Tuff, >75% pyroklast. Komp.)",,
15103054,ignimbrite,Ignimbrit,ignimbrite,Ign
15103055,pyroclastic breccia,Pyroklastische Brekzie,,
15103056,lapilli tuff,Lapillituff,lapilli tuff,Lapst
15103057,crystal tuff,Kristalltuff,,
15103058,ash tuff,Aschentuff,ash tuff,Asvst
15103060,"tuffite (pyroclastic and non-volcanic sediments, 75-25% pyroclastic components)","Tuffit (pyroklast. + nicht-vulkan. Sedimente, 75-25% pyroklast. Komp.)",,
15103061,tuff breccia,tuffitische Brekzie,,
15103062,tuffitic conglomerate,tuffitisches Konglomerat,,
15103063,tuffitic sandstone,tuffitischer Sandstein,,
15103064,tuffitic siltstone,tuffitischer Siltstein,,
15103065,tuffitic claystone,tuffitischer Tonstein,,
15103066,bentonite,Bentonit,bentonite,Ben
15104001,metamorphic rock,Metamorphit,,
15104003,fault zone rock,Gestein der Störungszone/Tektonit,,
15104005,"kakirite (strongly shattered and sliced, ± without cohesion)","Kakirit (stark zerrüttet und zerschert, ± kohäsionslos)",,
15104006,fault gouge,Gesteinsmehl,,
15104007,clay smear,Kluftletten,,
15104008,fault breccia (without cohesion),tektonische Brekzie (kohäsionslos),,
15104010,"cataclasite (with larger fragments of neighbouring rock, mainly brittle deformation)","Kataklasit (mit grösseren Bruchstücken des Nebengesteins, vorwiegend spröd deformiert)",,
15104011,cataclastic cellular dolomite,kataklastische Rauwacke,,
15104012,tectonic dolomite breccia,tektonische Dolomitbrekzie,,
15104013,tectonic breccia (with cohesion),tektonische Brekzie (kohäsiv),,
15104014,protocataclasite,Protokataklasit,,
15104015,(meso)cataclasite,(Meso)Kataklasit,,
15104016,ultracataclasite,Ultrakataklasit,,
15104055,marble,Marmor,marble,Mar
15104018,"mylonite undifferenciated (dynamic recristallisation, banded, ductile deformation)","Mylonit undifferenziert (dynamisch rekristallisiert, gebändert, duktil deformiert)",,
15104019,protomylonite,Protomylonit,protomylonite,Pmyl
15104020,mylonite,Mylonit,mylonite,Myl
15104021,ultramylonite,Ultramylonit,ultramylonite,Umyl
15104023,phyllonite (ductile deformation),Phyllonit (duktil deformiert),,
15104025,pseudotachylite (melted by frictional heat),Pseudotachylit (durch Reibungswärme aufgeschmolzen),,
15104027,rock resulting from regional- or contact metamorphism,Gestein der Regional- und Kontaktmetamorphose,,
15104029,"phyllite (very thin foliation, flaky)",Phyllit (sehr dünnschiefrig-blättrig),,
15104031,schist (splitting in 0.1 - 1 cm thin plates),Schiefer (in 0.1 bis 1 cm-dicke Platten spaltend),,
15104032,shale,Tonschiefer,,
15104033,sericite schist,Serizitschiefer,,
15104034,chlorite schist,Chloritschiefer,,
15104035,mica schist,Glimmerschiefer,,
15104036,glaucophane schist,Glaukophanschiefer,glaucophane schist,Gpsf
15104037,calcareous schist,Kalkschiefer,,
15104038,prasinite,Prasinit,prasinite,Pra
15104039,talc schist,Talkschiefer,,
15104041,gneiss (splitting in cm- or dm sized plates),Gneis (in cm- bis dm-dicke Platten spaltend),,
15104042,augen gneiss,Augengneis,,
15104043,banded gneiss,Bändergneis,,
15104044,veined gneiss,Adergneis,,
15104045,two-mica gneiss,Zweiglimmergneis,,
15104046,agmatic gneiss,agmatitischer Gneis,,
15104047,amphibolite gneiss,Leptinit,,
15104048,banded amphibolite,Paragneis,,
15104049,leptinite,Orthogneis,,
15104050,paragneiss,Stronalit,,
15104051,orthogneiss,Kinzigit,,
15104053,fels (with granoblastic texture),Fels (mit granoblastischer Textur),,
15104054,calcsilicate rock,Kalksilikatfels,calcsilicate rock,Ksifs
15104056,carbonate- and silicate-bearing rock,Karbonat- und Silikat führendes Gestein,,
15104057,cipolin,silikatreicher Marmor,,
15104058,granulite,Granulit,granulite,Grl
15104059,rodingite,Rodingit,,
15104060,amphibolite,Amphibolit,amphibolite,Amp
15104061,stronalite,Bänderamphibolit,,
15104062,amphibolite with agmatitic structure,Schollenamphibolit,,
15104063,kinzigite,Amphibolitgneis,,
15104064,eclogite,Eklogit,eclogite,Ekl
15104065,metamorphic peridodite ,metamorpher Peridotit,,
15104067,hornfels,Hornfels,hornfels,Hfs
15104069,metasomatite,Metasomatit,metasomatite,fums
15104070,skarn,Skarn,skarn,Skr
15104071,greisen,Greisen,greisen,Grs
15104072,gneiss with feldsparblasts,Gneis mit Feldspatblasten,,
15104074,migmatitic anatexite migmatite,migmatitischer Anatexit,,
15104075,migmatite,Migmatit,migmatite,Mig
15104076,metatexite with spotted structure,Metatexit mit Fleckentextur,,
15104077,metatexite with stromatitic structure,Metatexit mit stromatitischer Textur,,
15104078,metatexite with reticulated structure,Metatexit mit Netztextur,,
15104079,diatexite with nebulitic structure,Diatexit mit nebulitischer Textur,,
15104080,diatexite with schlieren structure,Diatexit mit Schlierentextur,,
15104081,diatexite with schollen structure,Diatexit mit Schollentextur,,
15104083,specific name,spezifischer Name,,
15104084,monomineralic rock,monomineralisches Gestein,,
15104085,biotitite,Biotitit,,
15104086,hornblendite,Hornblenditit,,
15104087,albitite,Albitit,,
15104088,monomineralic pyroxenite,monomineralischer Pyroxenit ,,
15104089,chloritite,Chloritit,,
15104090,serpentinite,Serpentinit,serpentinite,Sep
15104091,monomineralic quartzite,monomineralischer Quarzit ,,
15104092,protolite recognisable,Protolith erkennbar,,
15104093,sedimentary protolite recognisable,sedimentärer Protolith erkennbar,,
15104095,igneous protolite recognisable,magmatischer Protolith erkennbar,,
15104099,ophicalcite,Ophikalzit,,
15104101,garnet mica schist,Granat-Glimmerschiefer,,
15104102,greenschist,Grünschiefer,greenschist,Gsf
15104103,quartzite schist,Quarzschiefer,,
15104201,metasediment,Metasediment,metasediment,fus
15104202,metapsephite,Metapsephit,,
15104203,metabreccia,Metabrekzie,,
15104204,metaconglomerate,Metakonglomerat,metaconglomerate,uKgl
15104205,metasandstone,Metasandstein,metasandstone,uSst
15104206,quartzite (sedimentary protolite),Quarzit (sedimentärer Protolith),,
15104207,metapsammite,Metapsammit,metapsammite,fuss
15104208,meta-arkose,Metaarkose,meta-arkose,uArk
15104209,metagreywacke,Metagrauwacke,metagreywacke,uGwk
15104210,pebble bearing metasandstone,Geröll führender Metasandstein,,
15104211,metapelite,Metapelit,metapelite,fust
15104212,metasiltstone,Metasiltstein,,
15104213,slate (sedimentary protolite),Tonschiefer (sedimentärer Protolith),,
15104214,metamarl,Metamergel,,
15104215,marble (sedimentary protolite),Marmor (sedimentärer Protolith),,
15104216,dolomitic marble,dolomitischer Marmor,,
15104217,metaradiolarite,Metaradiolarit,,
15104218,metacarbonate ,Metakarbonat,,
15104401,metaigneous rock,Metamagmatit,,
15104402,meta-intrusive rock,metamorph überprägtes Intrusivgestein,,
15104403,metaplutonite,Metaplutonit,metaplutonite,fut
15104404,meta-alkali granite,Metaalkalogranit,,
15104405,metagranite,Metagranit,,
15104406,metagranodiorite,Metagranodiorit,,
15104407,metaquartz diorite,Metaquarzdiorit,,
15104408,metatonalite,Metatonalit,,
15104409,metadiorite,Metadiorit,,
15104410,metasyenite,Metasyenit,,
15104411,meta-alkali syenite,Metaalkalisyenit,,
15104412,metaquartz gabbro,Metaquarzgabbro,,
15104413,metagabbro,Metagabbro,,
15104414,metanorite,Metanorit,,
15104415,metamonzodiorite,Metamonzodiorit,,
15104416,metamonzogabbro,Metamonzogabbro,,
