id_cli,text_cli_en,text_cli_de,URI
15102028,argillaceous marlstone,Tonmergelstein,http://inspire.ec.europa.eu/codelist/LithologyValue/anthrazit
15101077,thin unconsolidated deposit cover,geringmächtige Lockergesteinsbedeckung,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15101078,in situ alteration or weahtering cover,tiefgründige Verwitterungsdecke,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone
15101079,gyttja,Gyttja,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate
15101080,calcareous tuff,Quelltuff,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone
15101081,hydrochemical deposit (calc-sinter),hydrochemische Bildungen (Kalksinter),http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone
15101082,travertine,Travertin,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone
15101083,in situ weathering debris,Insitu Verwitterungsschutt,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15102001,sedimentary rock,Sedimentgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone
15102003,clastic sedimentary rock,klastisches Sedimentgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateMudstone
15102005,"conglomerate, breccia (psephite: grain size: gravel, boulder and block)","Konglomerat, Brekzie (Psephit: Korngrösse: Kies, Steine und Blöcke)",http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateMudstone
15102006,breccia,Brekzie,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateMudstone
15102007,conglomerate,Konglomerat,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone
15102009,sandstone (psammite: sand grain size),Sandstein (Psammit: Sandkorngrösse),http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock
15102010,quartzitic sandstone,Quarzsandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102011,calcareous sandstone,Kalksandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102012,dolomitic sandstone,Dolomitsandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102013,silicate sandstone,kieseliger Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102014,marly sandstone,mergeliger Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102015,argillaceous sandstone,toniger Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102016,arkose,Arkose,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102017,"flysch sandstone, greywacke","Flyschsandstein, Grauwacke",http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102018,pebble bearing sandstone,Geröll führender Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102019,mica sandstone,Glimmersandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102020,glauconite sandstone,Glaukonitsandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102021,nummulite sandstone,Nummulitensandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102022,shelly sandstone,Muschelsandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite
15102063,phosphate-rich rock,phosphoritreiches Gestein,http://inspire.ec.europa.eu/codelist/LithologyValue/granitoid
15102024,"siltstone, claystone, marlstone (pelite: grain size: silt and clay)","Silt-, Tonstein, Mergel (Pelit: Silt- u. Tonkorngrösse)",
15102025,siltstone,Siltstein,http://inspire.ec.europa.eu/codelist/LithologyValue/biogenicSilicaSedimentaryRock
15102026,claystone,Tonstein,http://inspire.ec.europa.eu/codelist/LithologyValue/biogenicSilicaSedimentaryRock
15102027,marlstone,Mergelstein,http://inspire.ec.europa.eu/codelist/LithologyValue/lignite
15103007,granite,Granit,http://inspire.ec.europa.eu/codelist/LithologyValue/aplite
15102029,calcareous marlstone,Kalkmergelstein,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock
15102030,mudstone,Schlammstein,http://inspire.ec.europa.eu/codelist/LithologyValue/coal
15102032,"biogenic, biochemical, organic sedimentary rock","biogenes, biochemisches, organisches Sedimentgestein",http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock
15102034,limestone,Kalkstein,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock
15102035,siliceous limestone,Kieselkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/phosphateRichSediment
15102036,sparite,Spatkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/phosphateRichSediment
15102037,micrite,Mikrit,http://inspire.ec.europa.eu/codelist/LithologyValue/phosphateRichSediment
15102038,arenite,Arenit,http://inspire.ec.europa.eu/codelist/LithologyValue/evaporite
15102039,rudite,Rudit,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite
15102040,reef limestone,Riffkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite
15102041,calcareous breccia,Kalkbrekzie,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateMudstone
15102042,oolithic limestone,Kalkoolith,http://inspire.ec.europa.eu/codelist/LithologyValue/rockSalt
15102043,nummulite limestone,Nummulitenkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock
15102044,aptychus limestone,Aptychenkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomiticOrMagnesianSedimentaryRock
15102045,biogenic limestone,biogener Kalkstein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102046,detritic limestone,detritischer Kalk,http://inspire.ec.europa.eu/codelist/LithologyValue/travertine
15102047,freshwater limestone,Süsswasserkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/residualMaterial
15102049,Dolomit,Dolomit,http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15102051,siliceous rock,kieseliges Gestein,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryMaterial
15102052,radiolarite,Radiolarit,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102053,spiculite,Spiculit,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102054,chert,"Hornstein, Chert",http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15102056,coal,Kohle,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
