id_cli,text_cli_en,text_cli_de,URI
15001136,Proterozoic,Proterozoikum,http://resource.geosciml.org/classifier/ics/ischart/Proterozoic
15001001,Phanerozoic,Phanerozoikum,http://resource.geosciml.org/classifier/ics/ischart/Phanerozoic
15001006,Late Pleisteocene,Spätes Pleistozän,
15001007,Middle Pleistocene,Mittleres Pleistozän,http://resource.geosciml.org/classifier/ics/ischart/MiddlePleistocene
15001010,Calabrian,Calabrien,http://resource.geosciml.org/classifier/ics/ischart/Calabrian
15001011,Gelasian,Gélasien,http://resource.geosciml.org/classifier/ics/ischart/Gelasian
15001014,Pliocene,Pliozän,http://resource.geosciml.org/classifier/ics/ischart/Pliocene
15001015,Piacenzian,Piacenzien,http://resource.geosciml.org/classifier/ics/ischart/Piacenzian
15001016,Zanclean,Zancléen,http://resource.geosciml.org/classifier/ics/ischart/Zanclean
15001018,Late Miocene,Spätes Miozän,http://resource.geosciml.org/classifier/ics/ischart/Miocene
15001019,Messinian,Messinien,http://resource.geosciml.org/classifier/ics/ischart/Messinian
15001022,Serravallian,Serravallien,http://resource.geosciml.org/classifier/ics/ischart/Serravallian
15001023,Langhian,Langhien,http://resource.geosciml.org/classifier/ics/ischart/Langhian
15001027,Early Burdigalian,Frühes Burdigalien,http://resource.geosciml.org/classifier/ics/ischart/Burdigalian
15001032,Late Chattian,Spätes Chattien,http://resource.geosciml.org/classifier/ics/ischart/Chattian
15001033,Early Chattian,Frühes Chattien,http://resource.geosciml.org/classifier/ics/ischart/Chattian
15001038,Late Priabonian / Latdorfian,Spätes Priabonien / Latdorfien,
15001039,Early Priabonian,Frühes Priabonien,http://resource.geosciml.org/classifier/ics/ischart/Priabonian
15001043,Early Eocene,Frühes Eozän,http://resource.geosciml.org/classifier/ics/ischart/Ypresian
15001044,Ypresian,Yprésien,http://resource.geosciml.org/classifier/ics/ischart/Ypresian
15001046,Thanetian,Thanétien,http://resource.geosciml.org/classifier/ics/ischart/Thanetian
15001047,Selandian,Sélandien,http://resource.geosciml.org/classifier/ics/ischart/Selandian
15001048,Danian,Danien,http://resource.geosciml.org/classifier/ics/ischart/Danian
15001052,Masstrichtian,Maastrichtien,
15001054,Santonian,Santonien,http://resource.geosciml.org/classifier/ics/ischart/Santonian
15001056,Turonian,Turonien,http://resource.geosciml.org/classifier/ics/ischart/Turonian
15001090,Induan,Induen,http://resource.geosciml.org/classifier/ics/ischart/Induan
15001095,Lopingian,Lopingien,http://resource.geosciml.org/classifier/ics/ischart/Lopingian
15001096,Changhsingian,Changhsingien,http://resource.geosciml.org/classifier/ics/ischart/Changhsingian
15001098,Wuchiapingian,Wuchiapingien,http://resource.geosciml.org/classifier/ics/ischart/Wuchiapingian
15001101,Guadalupian,Guadalupien,http://resource.geosciml.org/classifier/ics/ischart/Guadalupian
15001102,Capitanian,Capitanien,http://resource.geosciml.org/classifier/ics/ischart/Capitanian
15001106,Wordian,Wordien,http://resource.geosciml.org/classifier/ics/ischart/Wordian
15001110,Cisuralian,Cisuralien,http://resource.geosciml.org/classifier/ics/ischart/Cisuralian
15001111,Kungurian,Kungurien,http://resource.geosciml.org/classifier/ics/ischart/Kungurian
15001113,Artinskian,Artinskien,http://resource.geosciml.org/classifier/ics/ischart/Artinskian
15001115,Sakmarian,Sakmarien,http://resource.geosciml.org/classifier/ics/ischart/Sakmarian
15001120,Pennsylvanian,Pennsylvanien,http://resource.geosciml.org/classifier/ics/ischart/Pennsylvanian
15001121,Late Pennsylvanian,Spätes Pennsyl.,http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian
15001122,Middle Pennsylvanian,Mittleres Pennsyl.,http://resource.geosciml.org/classifier/ics/ischart/MiddlePennsylvanian
15001123,Early Pennsylvanian,Frühes Pennsyl.,http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian
15001124,Mississippian,Mississippien,http://resource.geosciml.org/classifier/ics/ischart/Mississippian
15001126,Middle Mississippian,Mittleres Mississippien,http://resource.geosciml.org/classifier/ics/ischart/MiddleMississippian
15001137,Gzhelian,Gzhélien,http://resource.geosciml.org/classifier/ics/ischart/Gzhelian
15001138,Kasimovian,Kasimovien,http://resource.geosciml.org/classifier/ics/ischart/Kasimovian
15001139,Moscovian,Moscovien,http://resource.geosciml.org/classifier/ics/ischart/Moscovian
15001140,Bashkirien,Bashkirien,
15001141,Serpukhovian,Serpukhovien,http://resource.geosciml.org/classifier/ics/ischart/Serpukhovian
15001143,Tournaisian,Tournaisien,http://resource.geosciml.org/classifier/ics/ischart/Tournaisian
15001145,Ludlow,Ludlowien,http://resource.geosciml.org/classifier/ics/ischart/Ludlow
15001146,Wenlock,Wenlockien,http://resource.geosciml.org/classifier/ics/ischart/Wenlock
15001147,Llandovery,Llandoveryien,http://resource.geosciml.org/classifier/ics/ischart/Llandovery
15001148,Late Ordovician,Spätes Ordovizium,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician
15001149,Middle Ordovician,Mittleres Ordovizium,http://resource.geosciml.org/classifier/ics/ischart/MiddleOrdovician
15001150,Early Ordovician,Frühes Ordovizium,http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician
15001160,Pliocene undifferenciated,Pliozän undifferenziert,
15001161,Late Oligocene ,Spätes Oligozän,
15001162,Early Oligocene ,Frühes Oligozän,
15001163,Late Paleocene,Spätes Paleozän,
15001164,Early Paleocene,Frühes Paleozän,
15001165,Late Cretaceous undifferenciated,Späte Kreide undifferenziert,
15001166,Early Cretaceous undifferenciated,Frühe Kreide undifferenziert,
15001167,Late Jurassic undifferenciated,Später Jura undifferenziert,
15001169,Early Jurassic undifferenciated,Früher Jura undifferenziert,
15001170,Late Triassic undifferenciated,Späte Trias undifferenziert,
15001171,Middle Triassic undifferenciated,Mittlere Trias undifferenziert,
15001172,Early Triassic undifferenciated,Frühe Trias undifferenziert,
